#ClusterName #ID Mass LogTeff Logg Av "Log age" DistMod G sigG Bp sigBp Rp sigRp BP-RP MG BP-RP_0 BP-RP_0_lim allDeltas
NGC_6494 2273987966923716809 0.7587 3.6775 4.657 1.30816 8.57978 9.35202 16.69723 0.00068 17.52161 0.00441 15.74887 0.00193 1.7727399999999989 6.180947600000001 1.143408972972972 -0.055766598787442945 0.02539369775605671
NGC_6494 2273987966923716445 0.78057 3.6863 4.648 1.44173 8.57978 9.35202 16.96825 0.00073 17.86186 0.00584 15.9787 0.00227 1.8831600000000002 6.333090300000002 1.189570972972973 -0.055766598787442945 0.04015158266610275
NGC_6494 2273987967057929348* 9999.0 9999.0 9999.0 1.17167 8.57978 9.35202 17.60542 0.00073 18.70255 0.01224 16.49422 0.00335 2.20833 7.2106137 1.64466172972973 -0.055766598787442945 -0.1485282105878989
NGC_6494 2273987967057928445B 0.666 3.635 4.69 1.13232 8.57978 9.35202 17.50002 0.00084 18.51909 0.01033 16.44207 0.00319 2.0770199999999974 7.140235199999999 1.5322822702702679 -0.055766598787442945 0.03924754653881202
NGC_6494 2273987966923713868 0.67252 3.6313 4.672 1.24121 8.57978 9.35202 17.64322 0.00089 18.7231 0.01222 16.55852 0.00351 2.1645799999999973 7.1865231000000005 1.5674573513513486 -0.055766598787442945 0.004587833286019638
NGC_6494 2273987966923712708 0.91508 3.7345 4.587 1.18294 8.57978 9.35202 15.64926 0.00059 16.29709 0.00175 14.83695 0.00111 1.4601400000000009 5.2444234000000005 0.8910499459459468 -0.055766598787442945 -0.01152601788831209
NGC_6494 2273987967057921626* 9999.0 9999.0 9999.0 1.26193 8.57978 9.35202 15.70607 0.0005 16.46735 0.00195 14.8056 0.0011 1.6617499999999996 5.230932300000001 1.0546593513513511 -0.055766598787442945 -0.6365690847301932
NGC_6494 2273987967057930021* 9999.0 9999.0 9999.0 1.64233 8.57978 9.35202 14.61774 0.00047 15.21588 0.00094 13.84442 0.00072 1.3714600000000008 3.8040462999999995 0.581366108108109 -0.055766598787442945 0.05585964617055561
NGC_6494 2273987966923716031 0.89695 3.7289 4.596 1.34804 8.57978 9.35202 16.28928 0.00064 17.05179 0.00302 15.3904 0.00153 1.6613900000000008 5.737504400000002 1.0128734594594604 -0.055766598787442945 0.016018704625957447
NGC_6494 2273987966923709128 0.70497 3.6489 4.664 1.37779 8.57978 9.35202 17.39932 0.00082 18.41095 0.00931 16.34979 0.00298 2.061160000000001 6.8210669 1.3983312972972983 -0.055766598787442945 0.01191471556228585
NGC_6494 2273987967057930863A 1.08655 3.7804 4.482 1.27135 8.57978 9.35202 15.02764 0.00057 15.6089 0.00115 14.26709 0.00085 1.3418100000000006 4.544118500000001 0.7301875675675682 -0.055766598787442945 0.014862587771509617
NGC_6494 2273987967057924254* 9999.0 9999.0 9999.0 1.13379 8.57978 9.35202 17.49686 0.0007 18.68675 0.01095 16.33932 0.0031 2.3474299999999992 7.135766900000002 1.8019850810810802 -0.055766598787442945 -0.22333033612559205
