# cluster             nb_members   logAge    BP_RP_0_min             BP_RP_0_max         
  UPK_26              37           7.85974   -0.020079297297296628   1.7012212972972978  
  UPK_265             73           7.94002   -0.0484040540540539     1.2867614054054062  
  UPK_282             69           7.88024   -0.05140021621621621    1.918405189189189   
  UPK_29              51           8.91009   0.3775501081081074      1.71659372972973    
  UPK_303             124          7.89982   -0.05052059459459465    3.173129513513514   
  UPK_305             79           8.14922   -0.010137513513513552   2.3671925945945946  
  UPK_31              84           8.69984   0.2401434054054068      1.930765783783784   
  UPK_350             67           8.11059   0.12042718918918902     2.306929513513513   
  UPK_381             57           8.45939   0.0943069729729718      1.8269083243243254  
  UPK_385             35           7.06819   -0.08110037837837764    3.2587280540540537  
  UPK_394             41           8.32015   0.04495772972973083     1.817073675675674   
  UPK_398             38           7.02938   -0.2741218918918918     3.0551579459459473  
  UPK_4               92           8.43933   0.08783583783783688     1.6846769189189212  
  UPK_40              46           8.72997   0.23716043243243323     1.7791397297297287  
  UPK_402             41           6.85974   -0.3120281081081083     3.0513028648648652  
  UPK_42              100          8.32015   0.07205248648648593     1.9094855135135116  
  UPK_422             104          7.29003   -0.16585702702702793    3.378939351351351   
  UPK_429             57           8.14922   -1.5129729729726482E-4  1.6745049729729737  
  UPK_433             36           8.26007   0.03961135135135033     1.6480342702702695  
  UPK_436             91           7.40993   -0.16815037837837923    2.2323433513513504  
  UPK_442             44           8.23045   0.023003945945945986    1.844892216216216   
  UPK_452             62           8.22011   0.07418799999999973     2.077766432432433   
  UPK_46              64           8.19033   0.022540864864865784    1.7180197837837845  
  UPK_467             67           8.06819   -0.00683875675675695    2.1961544864864853  
  UPK_470             105          7.62014   -0.116778594594594      1.959148108108111   
  UPK_5               79           8.29003   0.03791356756756725     1.87376227027027    
  UPK_51              60           8.02938   -0.00907994594594616    2.1907797837837824  
  UPK_524             32           8.02938   -0.016720486486486275   2.2221336216216216  
  UPK_526             33           7.48996   -0.14967983783783745    2.4994889729729723  
  UPK_528             58           8.54033   0.1970524324324323      1.793135297297297   
  UPK_53              115          8.65992   0.20053097297297362     1.9239583243243275  
  UPK_533             56           7.94988   0.022554810810810594    2.67914227027027    
  UPK_535             92           7.51983   -0.13748551351351368    3.121870162162162   
  UPK_537             55           8.36922   0.07310978378378441     1.9481307567567543  
  UPK_540             46           7.57054   -0.1085953513513507     2.883994216216218   
  UPK_545             214          7.89982   -0.06346302702702672    2.771902324324326   
  UPK_549             151          8.96988   0.4199944324324338      1.7445349189189185  
  UPK_552             45           8.06819   0.09431297297297322     2.649699027027026   
  UPK_560             34           8.51055   0.2737951351351355      2.1175260000000007  
  UPK_562             35           7.98989   -0.03189448648648663    1.728596324324325   
  UPK_567             74           8.5302    0.13824627027026942     1.9738612972972966  
  UPK_579             87           8.07918   -0.009643567567567596   1.917324432432433   
  UPK_587             43           8.06819   0.035104702702703716    1.4188458918918936  
  UPK_605             57           7.84011   -0.05611605405405473    2.0731814594594584  
  UPK_607             31           7.19033   -0.214178918918918      2.0269319459459436  
  UPK_612             66           8.0       -0.00990389189189235    2.9300150810810814  
  UPK_617             35           7.85003   -0.010887135135135034   1.9461410810810829  
  UPK_624             36           7.59988   0.03374832432432487     2.8560577297297316  
  UPK_626             38           8.33041   0.08350443243243194     2.0679991351351372  
  UPK_640             562          7.39967   -0.1709872432432427     3.8867446486486505  
  UPK_644             54           8.23045   0.27387129729729764     1.670731513513514   
  UPK_645             54           8.02119   -0.02905751351351385    1.9626766486486489  
  UPK_65              51           8.43933   0.23741070270270265     1.7528620540540534  
  UPK_654             85           7.89982   -0.03172113513513522    2.4229142162162143  
  UPK_66              51           8.17026   0.0297318918918916      1.9881684864864868  
  UPK_82              53           7.91009   -0.04569389189189149    2.2037124864864857  
  UPK_84              118          9.0       0.43497708108108085     1.7185924864864854  
  UPK_90              39           7.6902    -0.10418708108108199    2.0135982702702706  
  vdBergh_80          63           6.81023   -0.33776102702702754    2.5022507567567565  
  vdBergh_92          143          6.88986   -0.32518156756756816    2.1350069729729726  
